,Consumption (KWH)
2017-04-07,19233578.694026623
2017-04-14,10802137.587751696
2017-04-21,16002925.347630875
2017-04-28,19327323.92703516
2017-05-05,20975305.836948864
2017-05-12,18287464.300633404
2017-05-19,16622446.284291169
2017-05-26,12215908.119497908
2017-06-02,20074441.156602554
2017-06-09,18692730.424708467
2017-06-16,16160493.014899904
2017-06-23,9820610.860847134
2017-06-30,18271290.578092694
2017-07-07,13560412.953613661
2017-07-14,15250430.597547019
2017-07-21,18153979.009899493
2017-07-28,20094553.80638859
2017-08-04,14466360.703583656
2017-08-11,19269263.508181226
2017-08-18,20550592.981846526
2017-08-25,21089430.788851127
2017-09-01,17543695.11996327
2017-09-08,19278791.99987428
2017-09-15,15409802.091311336
2017-09-22,24305386.16413564
2017-09-29,17842593.12917421
2017-10-06,22936651.112028737
2017-10-13,23769226.59466142
2017-10-20,30131297.05249979
2017-10-27,33715649.72717375
2017-11-03,31576228.465680767
2017-11-10,25051239.75464568
2017-11-17,31785825.691472597
2017-11-24,27200807.230031513
2017-12-01,26036715.046398737
2017-12-08,29076843.03209716
2017-12-15,21837246.0346506
2017-12-22,21126659.06008152
2017-12-29,21352206.79948742
2018-01-05,25690239.881606877
2018-01-12,22361233.22417359
2018-01-19,20828743.674719892
2018-01-26,16751335.937260328
2018-02-02,16429822.677958628
2018-02-09,20075581.21783705
2018-02-16,16953815.492224086
2018-02-23,13107368.172736144
2018-03-02,17919726.052381173
2018-03-09,14186376.534276748
2018-03-16,20358708.741047613
2018-03-23,16675539.499558328
2018-03-30,17562561.851863377
2018-04-06,16919275.45447859
2018-04-13,23629917.984274402
2018-04-20,18879211.287611958
2018-04-27,15854430.421771681
2018-05-04,42607661.83699005
2018-05-11,43236531.05392347
2018-05-18,48044782.260435104
2018-05-25,43983773.848651364
2018-06-01,52168726.99934348
2018-06-08,40374596.37881826
2018-06-15,43305337.96817488
2018-06-22,42449273.65366337
2018-06-29,40615819.55806939
2018-07-06,40622285.574231654
2018-07-13,29298279.106092036
2018-07-20,51508787.7616069
2018-07-27,26501174.006483465
2018-08-03,33350349.738262955
2018-08-10,28708560.427224185
2018-08-17,40499847.14399209
2018-08-24,35632748.68403731
2018-08-31,14469953.006603325
2018-09-07,24020181.272401772
2018-09-14,22914531.60552444
2018-09-21,19806206.115470465
2018-09-28,15576847.043789752
2018-10-05,24933864.58246359
2018-10-12,21939704.98139778
2018-10-19,22266372.644649126
2018-10-26,20664445.74769976
2018-11-02,28024675.62058057
2018-11-09,28165294.003354207
2018-11-16,19133328.169402294
2018-11-23,32541189.72963233
